Cal Ripken Jr.          5665822 American
Rafael Palmeiro         5469479 American
Mike Devereaux          3375000 American
dl-Sid Fernandez        3333333 American
Brady Anderson          3083333 American
Ben McDonald            2675000 American
Chris Hoiles            2000000 American
Chris Sabo              2000000 American
Harold Baines           1800000 American
Lee Smith               1500000 American
Mark McLemore           1000000 American
Mike Mussina             750000 American
Lonnie Smith             750000 American
Jamie Moyer              725000 American
Tim Hulett               550000 American
Mark Eichhorn            525000 American
Leo Gomez                500000 American
Alan Mills               500000 American
Mark Williamson          350000 American
Jim Poole                270000 American
Arthur Rhodes            230000 American
Jeff Tackett             162500 American
Jeffrey Hammonds         150000 American
Jack Voigt               150000 American
Damon Buford             130000 American
Brad Pennington          130000 American
dl-Paul Carey            115000 American
dl-Manny Alexander       109000 American
Roger Clemens           5155250 American
Andre Dawson            4425000 American
Frank Viola             4333333 American
Mike Greenwell          3325000 American
Otis Nixon              3250000 American
Danny Darwin            2650000 American
Jeff Russell            2175000 American
Joe Hesketh             1750000 American
Greg Harris             1725000 American
Scott Bankhead          1450000 American
Dave Valle              1200000 American
Damon Berryhill          700000 American
Mo Vaughn                675000 American
Billy Hatcher            650000 American
Scott Fletcher           525000 American
Scott Cooper             475000 American
Tony Fossas              450000 American
John Valentin            370000 American
Tim Naehring             300000 American
Paul Quantrill           235000 American
Aaron Sele               190000 American
Rich Trilicek            165000 American
Rich Rowland             142500 American
Gregory Blosser          109000 American
Lee Tinsley              109000 American
Chuck Finley            3875000 American
Mark Langston           3550000 American
Chili Davis             2400000 American
dl-Joe Magrane          1500000 American
Spike Owen              1250000 American
Bo Jackson              1000000 American
Joe Grahe                925000 American
Greg Myers               700000 American
Dwight Smith             700000 American
Chad Curtis              600000 American
Tim Salmon               600000 American
Gary Disarcina           400000 American
John Dopson              400000 American
Craig Lefferts           400000 American
Bob Patterson            400000 American
Mark Leiter              300000 American
Rex Hudler               275000 American
Harold Reynolds          230000 American
Bill Sampen              225000 American
dl-Julio Valera          175000 American
Damion Easley            170000 American
Scott Lewis              155000 American
Mike Butcher             150000 American
Phillip Leftwich         140000 American
Eduardo Perez            135000 American
Christopher Turner       125000 American
Jim Edmonds              117500 American
dl-Paul Swingle          110000 American
Jack McDowell           5300000 American
Tim Raines              3650000 American
Robin Ventura           3500000 American
dl-Steve Sax            3475000 American
Lance Johnson           2666667 American
Paul Assenmacher        2583333 American
Frank Thomas            2500000 American
Kirk McCaskill          2133333 American
Ozzie Guillen           2100000 American
Dan Pasqua              1750000 American
Ron Karkovice           1429167 American
dl-Scott Radinsky       1150000 American
Julio Franco            1000000 American
Darrin Jackson           750000 American
Alex Fernandez           748333 American
Craig Grebeck            660000 American
Joey Cora                625000 American
Jose De Leon             575000 American
Scott Sanderson          300000 American
Dennis Cook              275000 American
Roberto Hernandez        275000 American
Wilson Alvarez           265000 American
Warren Newson            175000 American
Jason Bere               160000 American
Jeff Schwarz             150000 American
Joe Hall                 109000 American
r-Mike LaValliere        109000 American
Dennis Martinez         4500000 American
Eddie Murray            3000000 American
Albert Belle            2600000 American
Omar Vizquel            2300000 American
Carlos Baerga           2283333 American
Sandy Alomar Jr.        2200000 American
Candy Maldonado         1650000 American
Derek Lilliquist        1350000 American
Charles Nagy            1241667 American
Chris Nabholz            950000 American
Steve Farr               900000 American
Kenny Lofton             875000 American
Paul Sorrento            675000 American
Eric Plunk               625000 American
Jose Mesa                600000 American
Alvaro Espinoza          450000 American
Tony Pena                400000 American
Russ Swan                400000 American
Jack Morris              350000 American
Jim Thome                325000 American
Wayne Kirby              190000 American
Mark Lewis               182500 American
Mark Clark               141000 American
dl-Jerry Dipoto          140000 American
Matt Turner              139000 American
Manny Ramirez            111000 American
Cecil Fielder           4237500 American
Tim Belcher             3400000 American
Mike Moore              3333333 American
Eric Davis              3000000 American
Alan Trammell           3000000 American
Lou Whitaker            2783333 American
David Wells             2500000 American
Travis Fryman           2400000 American
Tony Phillips           2366667 American
Bill Gullickson         2300000 American
Mickey Tettleton        1833333 American
Kirk Gibson             1500000 American
Mike Henneman           1333333 American
Bill Krueger            1300000 American
Chad Kreuter            1000000 American
Joe Boever               800000 American
Storm Davis              800000 American
Scott Livingstone        365000 American
John Doherty             350000 American
Juan Samuel              300000 American
Milt Cuyler              275000 American
Junior Felix             275000 American
Mike Gardiner            150000 American
Christopher Gomez        140000 American
Daniel Bautista          125000 American
Dave Cone               5000000 American
Wally Joyner            4600000 American
Kevin Appier            3800000 American
Vince Coleman           3312500 American
Jeff Montgomery         3166667 American
Greg Gagne              2966667 American
Tom Gordon              2635000 American
Mike Macfarlane         2600000 American
Jose Lind               2350000 American
dl-Felix Jose           1950000 American
Brian McRae             1900000 American
Stan Belinda            1600000 American
Dave Henderson           750000 American
dl-Keith Miller          700000 American
Mark Gubicza             550000 American
Brent Mayne              500000 American
Hubie Brooks             350000 American
Hipolito Pichardo        295000 American
David Howard             220000 American
Terry Shumpert           205000 American
Chris Haney              193000 American
Mike Magnante            180000 American
Billy Brewer             165000 American
Tom Goodwin              143500 American
Kevin Koslofski          130000 American
Bob Hamelin              110000 American
r-Gary Gaetti            109000 American
Teddy Higuera           3500000 American
Greg Vaughn             3000000 American
dl-B.J. Surhoff         2500000 American
Jaime Navarro           2400000 American
Bill Wegman             2375000 American
Darryl Hamilton         1800000 American
Tom Brunansky           1100000 American
Brian Harper            1000000 American
Jesse Orosco             700000 American
Kevin Seitzer            650000 American
Pat Listach              500000 American
Bob Scanlan              500000 American
Mike Fetters             400000 American
Cal Eldred               375000 American
Jody Reed                350000 American
Bill Spiers              350000 American
Ricky Bones              325000 American
John Jaha                226000 American
Dave Nilsson             182500 American
dl-Doug Henry            180000 American
Turner Ward              175000 American
Graeme Lloyd             152000 American
Jeff Bronkey             114000 American
Jose Valentin            113000 American
Alex Diaz                112000 American
dl-Angel Miranda         112000 American
Mark Kiefer              109000 American
Michael Matheny          109000 American
dl-Jose Mercedes         109000 American
Kirby Puckett           5200000 American
Shane Mack              3250000 American
Rick Aguilera           3210000 American
Kent Hrbek              3100000 American
Dave Winfield           2725000 American
Kevin Tapani            2575000 American
Chuck Knoblauch         1550000 American
Scott Erickson          1325000 American
Mark Guthrie             875000 American
Pedro Munoz              590000 American
Jim Deshaies             575000 American
Carl Willis              500000 American
Scott Leius              275000 American
Larry Casian             180000 American
Mike Trombley            175000 American
Jeff Reboulet            162500 American
Pat Meares               160000 American
Chip Hale                150000 American
Dave McCarty             130000 American
Pat Mahomes              126000 American
Derek Parks              116000 American
Matt Walbeck             115000 American
Rich Becker              109000 American
Keith Garagozzo          109000 American
Carlos Pulido            109000 American
Jimmy Key               5250000 American
Danny Tartabull         4550000 American
Don Mattingly           4020000 American
Paul O'Neill            3833333 American
Melido Perez            3450000 American
Terry Mulholland        3350000 American
Wade Boggs              3100000 American
Jim Abbott              2775000 American
Matt Nokes              2500000 American
Steve Howe              1900000 American
Mike Gallego            1575000 American
Xavier Hernandez        1525000 American
Luis Polonia            1500000 American
Randy Velarde           1125000 American
Pat Kelly                810000 American
Jim Leyritz              742500 American
Mike Stanley             512500 American
Donn Pall                500000 American
Daryl Boston             400000 American
dl-Paul Gibson           250000 American
Jeff Reardon             250000 American
Scott Kamieniecki        235000 American
Bernie Williams          225000 American
Bob Wickman              180000 American
Gerald Williams          115000 American
Sterling Hitchcock       112000 American
Rickey Henderson        4800000 American
Ruben Sierra            4700000 American
Dennis Eckersley        3750000 American
Bob Welch               3450000 American
Bobby Witt              3250000 American
Mark McGwire            3000000 American
Terry Steinbach         2800000 American
Ron Darling             2250000 American
Mike Bordick            1050000 American
Kelly Downs              625000 American
