Detroit Red Wings         325  181  131   128.10   124.87
Colorado Avalanche        326  240  104   109.02   107.61
Philadelphia Flyers       282  208  103   107.71   104.03
Pittsburgh Penguins       362  284  102   104.25   105.22
New York Rangers          272  237   96   95.509   92.421
Chicago Blackhawks        273  220   94   101.35   97.780
Florida Panthers          258  230   92   94.046   90.337
Boston Bruins             282  269   91   87.697   85.871
Montreal Canadiens        265  248   90   90.021   87.062
Washington Capitals       234  204   89   96.131   90.932
Tampa Bay Lightning       238  248   88   82.773   79.023
New Jersey Devils         215  202   86   91.687   85.871
St. Louis Blues           219  248   80   77.673   73.366
Toronto Maple Leafs       247  252   80   83.877   80.511
Vancouver Canucks         278  278   79   83.671   82.000
Calgary Flames            241  240   79   86.202   82.298
Anaheim Mighty Ducks      234  247   78   82.027   78.129
Winnipeg Jets             275  291   78   78.602   77.236
Hartford Whalers          237  259   77   78.897   75.450
Buffalo Sabres            247  262   73   80.597   77.534
Edmonton Oilers           239  304   68   64.674   62.647
Los Angeles Kings         256  302   66   69.893   68.304
Dallas Stars              227  280   66   69.324   66.220
New York Islanders        229  315   54   58.381   56.395
San Jose Sharks           252  357   47   50.779   50.737
Ottawa Senators           191  291   41   56.052   52.226
